title,description,published_at,source,url,country,word_count,recent
"Raja Shivaji Cast Fees : राजा शिवाजी सिनेमात मराठीसह बॉलिवूडकरांचीही गर्दी, 100 कोटींच्या बजेटमध्ये कोणाला किती मिळाली फी","'राजा शिवाजी' हा चित्रपट रिलीज व्हायला काहीच दिवस उरले आहेत. त्यामुळे प्रेक्षकांमधील उत्सुकता आताच शिगेला पोहोचली आहे. या चित्रपटात कलाकारांची एक मोठी फौज पाहायला मिळते, ज्यात मराठीसह बॉलिवूडच्या दिग्गजांचाही समावेश आहे. या चित्रपटातील आपापल्या भूमिकांसाठी प्रत्येक कलाकाराला किती मानधन मिळाले आहे, हे जाणून घेऊ.",2026-04-24 01:15:17+00:00,Maharashtra Times,https://maharashtratimes.com/entertainment/entertainment-news/bollywood-news/raja-shivaji-film-star-cast-fees-from-riteish-deshmukh-to-mahesh-manjrekar/articleshow/130481173.cms,India,18,False
Trump rules out nuclear strike on Iran: 'Decimated ​them without it',"Trump emphasised that he is not in a hurry to reach an agreement with Tehran, prioritising a stable, long-term solution over a quick resolution",2026-04-24 01:14:22+00:00,Moneycontrol.com,https://www.moneycontrol.com/world/trump-rules-out-nuclear-strike-on-iran-decimated-them-without-it-article-13898059.html,India,11,False
भारतीय दूतावास ने 'ईरान की यात्रा नहीं करने' की 'सख़्त सलाह' क्यों दी,भारत और ईरान के बीच फ़्लाइट फिर शुरू होने की ख़बरों के बीच ईरान में भारतीय दूतावास ने भारतीयों के लिए ट्रैवल एडवाइज़री जारी की है.,2026-04-24 01:12:48+00:00,BBC,https://www.bbc.com/hindi/live/ckgej3yxjert,India,13,False
MK Stalin: மே 4ல் தமிழ்நாடு வெல்லும்.. வாக்களித்தவர்களுக்கு நன்றி சொன்ன மு.க.ஸ்டாலின்!,"தமிழ்நாடு சட்டமன்ற தேர்தலில் வாக்களிக்க பல்வேறு தரப்பு மக்களும் ஆர்வம் காட்டினர். குறிப்பாக இளைஞர்கள் பெருமளவில் தங்கள் கடமையை செய்தனர். வெளியூர், வெளிநாடு, வெளிமாநிலங்களில் இருந்தும் கூட வாக்களிக்க வந்தன",2026-04-24 01:09:10+00:00,ABP Nadu,https://tamil.abplive.com/news/tamil-nadu/tamil-nadu-elections-2026-cm-mk-stalin-thanks-to-voters-for-doing-their-democratic-duty-257311,India,10,False
Rams select QB Ty Simpson with No. 13 pick in NFL draft,"According to ESPN's Adam Schefter, Rams coach Sean McVay told Matthew Stafford earlier Thursday of the team's plan to take Ty Simpson at No. 13.",2026-04-24 01:27:00+00:00,ESPN,https://www.espn.com/nfl/story/_/id/48575685/rams-select-qb-ty-simpson-no-13-pick-nfl-draft,USA,12,False
"Trump confirms he's weighing a taxpayer takeover of Spirit Airlines ""for the right price""",President Trump said Thursday that he was weighing a taxpayer-funded takeover of Spirit Airlines​ with the intent of reselling the struggling budget carrier​ after oil prices drop.,2026-04-24 01:21:00+00:00,CBS News,https://www.cbsnews.com/news/trump-weighing-taxpayer-takeover-spirit-airlines/,USA,14,False
The New Version Of Game Pass Is A Perk For Discord Nitro Users,The chat platform subscription will seemingly give players access to some games for free,2026-04-24 01:07:02+00:00,Kotaku,https://kotaku.com/xbox-game-pass-discord-nitro-stardew-valley-fallout-4-2000690262,USA,13,False
"Iran War Has Drained U.S. Supplies of Critical, Costly Weapons","The Pentagon’s rush to rearm its Mideast forces makes it less ready to confront potential adversaries like Russia and China, administration and congressional officials say.",2026-04-24 01:04:32+00:00,The New York Times,https://www.nytimes.com/2026/04/23/us/politics/iran-war-cost-military.html,USA,10,False
"Edge David Bailey, Texas Tech, Round 1, Pick 2",Joins Green & White's Edge-Rushing Group as the Highest Defensive Draft Choice in Franchise History,2026-04-24 00:58:52+00:00,New York Jets,https://www.newyorkjets.com/news/david-bailey-nfl-draft-edge-texas-tech,USA,9,False
El mayor fabricante de condones anuncia subida de precios por la guerra,Se dispara en un 30% el costo de los profilácticos.,2026-04-24 00:57:12+00:00,Primera Hora,https://www.primerahora.com/noticias/consumo/notas/el-mayor-fabricante-mundial-de-condones-anuncia-subida-de-precios-por-la-guerra/,USA,12,False
Judge sets date for evidence against singer D4vd in killing of 14-year-old to be presented,"Lawyers for singer D4vd insisted Thursday on forcing prosecutors to show what evidence they have, and a judge set a hearing for next week for them to lay it out publicly in the killing and dismemberment of Celeste Rivas Hernandez.",2026-04-24 00:55:55+00:00,PBS,https://www.pbs.org/newshour/nation/judge-sets-date-for-evidence-against-singer-d4vd-in-killing-of-14-year-old-to-be-presented,USA,15,False
The Lion King review - Disney’s Broadway juggernaut roars to life in Sydney,"With breathtaking aesthetics and joyous performances, the audacious adaptation – now almost 30 years old – is greater than the sum of its parts",2026-04-24 01:23:00+00:00,The Guardian,https://www.theguardian.com/film/2026/apr/24/the-lion-king-review-musical-sydney,Australia,13,False
Tom Starling cops online abuse after Raiders' loss to Wests Tigers,Canberra Raiders hooker Tom Starling has received disgusting online abuse following the loss to Wests Tigers on Thursday night.,2026-04-24 01:21:50+00:00,The Canberra Times,https://www.canberratimes.com.au/story/9232015/tom-starling-cops-online-abuse-after-raiders-loss-to-wests-tigers/,Australia,11,False
APOLLO AI learns from 25 billion medical events to predict future disease,"APOLLO is a multimodal temporal foundation model trained on 25.2 billion medical events from 7.2 million patients across 33 years of Mass General Brigham records, integrating 28 medical modalities into unified “virtual patient representations.” Across 322 downstream tasks, the model showed strong performance in disease prediction, treatment-response stratification, hospital operations, and patient retrieval, supporting the idea of more computable, data-driven medicine.",2026-04-24 01:12:00+00:00,News-Medical,https://www.news-medical.net/news/20260423/APOLLO-AI-learns-from-25-billion-medical-events-to-predict-future-disease.aspx,Australia,12,False
"Woolworths, Coles case won't hurt the supermarket oligopoly","Whatever happens in the 'fake discounts' case, it's clear that the true impediment to consumer protection is Australia's political class.",2026-04-24 01:06:54+00:00,Crikey,https://www.crikey.com.au/2026/04/24/woolworths-coles-court-case-discounts-supermarket-oligopoly/,Australia,8,False
Tobacco ban in the UK could create a smoke,Anyone born after 2008 will be banned from buying cigarettes or vapes for life in the UK when a new bill becomes law.,2026-04-24 01:04:53+00:00,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-24/generational-smoking-ban-uk/106592244,Australia,9,False
Smith confirms he will attend Anzac Day commemorations after release on bail,"Ben Roberts-Smith confirms he will be attending Anzac Day services tomorrow, saying he intends to pay his respects, one week on from his release on bail.",2026-04-24 00:58:52+00:00,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-24/ben-roberts-smith-anzac-day-commemorations/106601020,Australia,12,False
‘It’s pretty ugly’: Kyle Sandilands tells ARN to put him back on air as he arrives for court hearing in Rolls-Royce,Radio presenter arrives for case management hearing into allegations he breached his Kiis FM radio contract,2026-04-24 00:34:00+00:00,The Guardian,https://www.theguardian.com/media/2026/apr/24/kyle-sandilands-kiis-fm-arn-radio-contract-ntwnfb,Australia,21,False
Pentagon awards $276m AUKUS submarine contract funded by Australia,The US Department of Defense announces the first major submarine contract to deliver on the AUKUS security deal.,2026-04-24 00:24:49+00:00,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-24/us-navy-awards-contract-for-aukus-submarine-deal/106601042,Australia,9,False
"US soldier charged with making $560,000 on Nicolás Maduro removal with Polymarket bets","In the weeks leading up to Venezuelan leader Nicolás Maduro's January 3 capture, Gannon Ken Van Dyke used sensitive classified information to make wagers on prediction market Polymarket.",2026-04-24 00:22:26+00:00,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-24/us-soldier-charged-betting-on-maduro-removal/106601200,Australia,13,False
Saham-Saham Ini Masuk Antrean Jual Asing Kala IHSG Ambruk,"Indeks Harga Saham Gabungan melemah 2,16% pada 23 April 2026. Investor asing jual bersih Rp978,65 miliar. Simak daftar saham yang dijual asing!",2026-04-24 01:37:19+00:00,CNBC Indonesia,https://www.cnbcindonesia.com/market/20260424082819-17-729462/saham-saham-ini-masuk-antrean-jual-asing-kala-ihsg-ambruk,Nepal,9,False
خطة إيران لرسوم عبور هرمز.. ماذا تعني للاقتصاد العالمي؟,تثير خطة إيران لفرض رسوم عبور على السفن في مضيق هرمز مخاوف من تداعيات اقتصادية سلبية وارتفاع في الأسعار حول العالم.,2026-04-24 01:37:14+00:00,سكاي نيوز عربية,https://www.skynewsarabia.com/middle-east/1865890-%D8%AE%D8%B7%D8%A9-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D9%84%D8%B1%D8%B3%D9%88%D9%85-%D8%B9%D8%A8%D9%88%D8%B1-%D9%87%D8%B1%D9%85%D8%B2-%D8%AA%D8%B9%D9%86%D9%8A-%D9%84%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A,Nepal,9,False
Lời khai của kẻ giết chủ tiệm cầm đồ,"Quảng Trị- Nguyễn Văn Dũng cần tiền trả nợ nên đến tiệm cầm đồ vay, sau khi nhận được tiền đã đoạt mạng chủ tiệm. - VnExpress",2026-04-24 01:37:00+00:00,VnExpress,https://vnexpress.net/loi-khai-cua-ke-giet-chu-tiem-cam-do-5066457.html,Nepal,9,False
Elijah Hollands shared his story with me. He was brave then and he’s brave now,"Elijah Hollands got himself back through help from family, experts, his teammates and Carlton. He showed courage to do so. Now his health is the priority.",2026-04-24 01:36:28+00:00,The Age,https://www.theage.com.au/sport/afl/elijah-hollands-shared-his-story-with-me-he-was-brave-then-and-he-s-brave-now-20260422-p5zq8f.html,Nepal,15,False
തമിഴ്‌നാട്ടിൽ റെക്കോർഡ് പോളിങ്; ദ്രാവിഡ മണ്ണിൽ വിധി ആർക്കൊപ്പം? അങ്കലാപ്പിൽ മുന്നണികൾ,"ഉയർന്ന പോളിങ് ശതമാനം ആരെ തുണക്കുമെന്ന ആകാംക്ഷയിലാണ് ഡിഎംകെ, എഐഡിഎംകെ മുന്നണികളും ടിവികെയും",2026-04-24 01:36:22+00:00,Media One,https://www.mediaoneonline.com/india/record-polling-in-tamil-nadu-who-will-fate-favor-in-the-dravidian-land-fronts-in-anxiety-321720,Nepal,9,False
"Evacuations after slip north of Auckland, heavy rain warnings in place","A slip in Waiwera has caused some people to be evacuated today, while most of Auckland and Northland is being warned about heavy rain ahead of the long weekend.",2026-04-24 01:36:07+00:00,1News,https://www.1news.co.nz/2026/04/24/evacuations-after-slip-north-of-auckland-heavy-rain-warnings-in-place/,Nepal,11,False
"Tom Brady no pierde el tiempo y le da una orden al primer pick del draft de la NFL, Fernando Mendoza","Las Vegas Raiders elige a Fernando Mendoza como la primera selección del Draft de la NFL 2026, un reclutamiento en el que fue clave el copropietario del equipo, Tom Brady",2026-04-24 01:36:00+00:00,Yahoo,https://es-us.noticias.yahoo.com/deportes/tom-brady-pierde-tiempo-orden-013634199.html,Nepal,21,False
Study highlights gaps in opioid use disorder care during pregnancy,"Opioid use disorder during pregnancy remains a critical yet under-addressed public health issue in the U.S., according to a new study at Columbia University Mailman School of Public Health.",2026-04-24 01:36:00+00:00,News-Medical,https://www.news-medical.net/news/20260423/Study-highlights-gaps-in-opioid-use-disorder-care-during-pregnancy.aspx,Nepal,10,False
„Ein Meer aus Blut“: Schah-Sohn fleht Deutschland um Hilfe an,In Maybrit Illners Sendung appelliert Reza Pahlavi an die Bundesregierung und verurteilt das iranische Regime.,2026-04-24 01:35:23+00:00,BILD,https://www.bild.de/politik/politik-talkshows-im-tv-talk-kritik/ein-meer-aus-blut-schah-sohn-fleht-deutschland-um-hilfe-an-69eac32c79eaea7df39de875,Nepal,10,False
"Bhooth Bangla BO Day 7: 'भूत बंगला' की कमाई में सातवें दिन आई मंदी, फिर भी बन गई साल की तीसरी सबसे बड़ी फिल्म, 'ओ रोमियो' को दी मात",Bhooth Bangla BO Day 7: अक्षय कुमार की हॉरर कॉमेडी फिल्म 'भूत बंगला' ने सिनेमाघरों में रिलीज का एक हफ्ता पूरा कर लिया है. इसी के साथ अच्छी कमाई कर ये साल की तीसरी सबसेे बड़ी फिल्म बन गई है.,2026-04-24 01:35:06+00:00,ABP News,https://www.abplive.com/entertainment/bollywood/bhooth-bangla-box-office-collection-day-7-akshay-kumar-film-seventh-day-thursday-first-week-collection-net-in-india-beat-o-romeo-3119490,India,29,False
"Box Office: हफ्ता बीतते ही 'भूत बंगला' की लगातार गिरने लगी कमाई, 36वें दिन भी 'धुरंधर 2' का करोड़ में कलेक्शन","अक्षय कुमार की फिल्म 'भूत बंगला' ने रिलीज के तीन दिनों तक तो जबरदस्त कमाई की और सुपरहिट होने की राह पर ही थी लेकिन चौथे दिन के बाद से इसके कलेक्शन में भारी गिरावट आ गई है। वही, धुरंधर 2 का हाल अब 'आज गए, तो कल गए' वाला हो गया है।",2026-04-24 01:34:38+00:00,Navbharat Times,https://navbharattimes.indiatimes.com/entertainment/box-office/bhooth-bangla-box-office-day-7-vs-dhurandhar-2-the-revenge-day-36-collection/articleshow/130481295.cms,India,21,False
"IPL 2026: मिचेल सेंटनर को कंधे में लगी चोट, मुंबई इंडियंस को कैसे मिल गया कन्कशन सब्स्टीट्यूट?",मुंबई इंडियंस के स्पिनर मिचेल सेंटनर को सीएसके के खिलाफ मैच के दौरान कंधे में चोट लगी। इसके बाद भी मुंबई को उनकी जगह कन्कशन सब्स्टीट्यूट के रूप में शार्दुल ठाकुर मिल गए।,2026-04-24 01:34:01+00:00,Navbharat Times,https://navbharattimes.indiatimes.com/sports/cricket/iplt20/news/mitchell-santner-suffered-shoulder-injury-how-did-mumbai-indians-get-a-concussion-substitute-ipl-2026/articleshow/130481316.cms,India,17,False
MI vs CSK: Sanju Samson's Post-Match Remark Proves He Is True Successor To 'Captain' Dhoni,"Sanju Samson's unbeaten 101-run knock against the Mumbai Indians is bound to put pressure on Chennai Super Kings (CSK) captain Ruturaj Gaikwad, trigger a debate around the team's leadership.",2026-04-24 01:32:23+00:00,NDTV Sports,https://sports.ndtv.com/ipl-2026/sanju-samsons-responsibility-remark-proves-he-is-csks-leader-despite-not-being-captain-11401322,India,15,False
Trump says he will ‘probably put a big tariff on the UK’ if it doesn’t drop digital services tax,"US president accuses UK of thinking it can ‘make an easy buck’ from US tech companies, weeks after warning that UK–US trade deal can be changed",2026-04-24 01:35:00+00:00,The Guardian,https://www.theguardian.com/us-news/2026/apr/24/trump-tariff-uk-digital-services-tax-warning,UK,19,False
Assisted dying bill to run out of time as Lords hold final debate,The Terminally Ill Adults (End of Life) Bill was supported by MPs but has not cleared its stages in the Lords.,2026-04-24 00:01:59+00:00,BBC,https://www.bbc.co.uk/news/articles/cgk0vz5e2zxo,UK,13,False
"US soldier charged after winning $400,000 betting on removal of Venezuela's Nicolas Maduro","Gannon Ken Van Dyke allegedly made trades on Polymarket on the basis of classified information, the justice department says.",2026-04-23 23:46:00+00:00,BBC,https://www.bbc.co.uk/news/articles/c20832yg5p2o,UK,13,False
Ukraine war briefing: Trump bristles at Prince Harry’s passionate plea for Ukraine,"Duke of Sussex says US must ‘honour obligations’ as it persuaded Ukraine to give up nuclear weapons; US president retorts that Harry doesn’t speak for Britain. What we know on day 1,521",2026-04-23 23:41:00+00:00,The Guardian,https://www.theguardian.com/world/2026/apr/24/ukraine-war-briefing-trump-bristles-at-prince-harrys-passionate-plea-for-ukraine,UK,12,False
Trump threatens Starmer with ‘big tariff’ over tech tax,"President tells The Telegraph he will retaliate if Britain continues to ‘target’ major American companies such as Apple, Google and Meta",2026-04-23 23:40:00+00:00,The Telegraph,https://www.telegraph.co.uk/us/news/2026/04/24/trump-drop-digital-service-tech-tax-tariff-threat/,UK,9,False
Premier League Darts: Luke Littler beats Jonny Clayton and silences Liverpool crowd to close gap at top of table,"Luke Littler is now just three points behind Jonny Clayton at the top of the Premier League table; He beat Luke Humphries, Michael van Gerwen, and Clayton in Liverpool; you can watch Premier League Darts live on Sky Sports every Thursday",2026-04-23 23:27:29+00:00,Sky Sports,https://www.skysports.com/darts/news/12288/13535005/premier-league-darts-luke-littler-beats-jonny-clayton-and-silences-liverpool-crowd-to-close-gap-at-top-of-table,UK,19,False
"Global stock markets are too high and set to fall, says Bank of England deputy",It is unusual for a senior figure at the Bank to be so forthright on market movements.,2026-04-23 23:15:25+00:00,BBC,https://www.bbc.co.uk/news/articles/c75kp1y43lgo,UK,15,False
"Ringo Starr on pizza, country music, Barry Keoghan and being Sir Richard","Beatles star reveals all about his new country album, being a Sir and coming up with the phrase A Hard Day's Night.",2026-04-23 23:05:11+00:00,BBC,https://www.bbc.co.uk/news/articles/cp8645d9lvyo,UK,12,False
Luke Littler shrugs off boos at Premier League in Liverpool: Reaction in Rotterdam the 'worst I have experienced',Luke Littler says he does not regret what happened with Gian van Veen but believes they have both moved on; He says the boos in Rotterdam were the worst he has experienced; you can watch Premier League Darts live on Sky Sports every Thursday,2026-04-23 22:55:57+00:00,Sky Sports,https://www.skysports.com/darts/news/12288/13535693/luke-littler-shrugs-off-boos-at-premier-league-in-liverpool-reaction-in-rotterdam-the-worst-i-have-experienced,UK,18,False
"Speculation about 'missing scientists' is 'denigrating to their memories,' widow says",Conspiracies are running rampant online after the deaths or disappearances of at least 10 people tied to sensitive US research.,2026-04-23 22:52:20+00:00,BBC,https://www.bbc.co.uk/news/articles/cwyw9rpdl4po,UK,11,False
"'Spent salary on prostitutes': Accused in Delhi IRS officer’s daughter rape-murder is a pervert, had ill intentions towards victim; chilling new details",NEW DELHI: A 23-year-old man accused of raping and murdering the daughter of an Indian Revenue Service (IRS) officer in south Delhi had allegedly carr.,2026-04-24 01:43:00+00:00,The Times of India,https://timesofindia.indiatimes.com/city/delhi/spent-salary-on-prostitutes-accused-in-delhi-irs-officers-daughter-rape-murder-is-a-pervert-had-ill-intentions-towards-victim-chilling-new-details/articleshow/130481263.cms,Nepal,22,False
"पुढील 3 तास संकटाची, प्रशासनाचा इशारा, आजही गारपिटीचा धोका, दुपारी 12 ते 3…",Maharashtra Weather Update : राज्यातील हवामानात गेल्या काही दिवसांपासून सतत बदल होताना दिसत आहे. उष्णता प्रचंड वाढली आहे. कुठे गारपिट होत आहे. त्यामध्येच हवामान विभागाने अत्यंत मोठा इशारा जारी केला.,2026-04-24 01:42:59+00:00,TV9 Marathi,https://www.tv9marathi.com/maharashtra/indian-meteorological-department-has-issued-yellow-alert-in-maharashtra-on-24-april-2026-1654071.html,Nepal,13,False
‘Fracture in the Enemy’: Mojtaba Khamenei’s 'unity' message to US amid ‘gravely wounded’ reports,"Mojtaba Khamenei said, ""Due to the strange unity created among compatriots, a fracture has occurred in the enemy,"" describing Tehran's unity as advantage. | World News",2026-04-24 01:42:29+00:00,Hindustan Times,https://www.hindustantimes.com/world-news/fracture-in-the-enemy-iran-supreme-leader-mojtabas-strange-unity-message-as-war-shows-no-end-101776992632515.html,Nepal,14,False
Psilocybin use rises among Americans amid growing clinical interest,"The use of psilocybin, the hallucinogenic compound found in ""magic mushrooms,"" is rising in the United States alongside de‑criminalization efforts in several states and local jurisdictions, as well as heightened interest by the general public.",2026-04-24 01:41:00+00:00,News-Medical,https://www.news-medical.net/news/20260423/Psilocybin-use-rises-among-Americans-amid-growing-clinical-interest.aspx,Nepal,9,False
10 Best Places to Retire 2026 with Tax-Free Benefits,"Dreaming of living comfortably in your golden years should lead you to explore the best places to retire, like Panama and Costa Rica.",2026-04-24 01:40:43+00:00,Tempo.co English,https://en.tempo.co/read/2100102/10-best-places-to-retire-2026-with-tax-free-benefits,Nepal,9,False
Emor: Isamaa ja Keskerakond juhivad reitinguid tasavägiselt,"Kahe Eesti eelistatuima erakonna seis oli Emori aprilli küsitluses tasavägine, juhtis Isamaa väikese vahega Keskerakonna ees. Veidi kasvatas toetust jätkuvalt valimiskünnise all püsiv Eesti 200, samal ajal kui EKRE toetus langes kümne aasta madalaimale tasemele.",2026-04-24 01:40:00+00:00,ERR,https://www.err.ee/1610004634/emor-isamaa-ja-keskerakond-juhivad-reitinguid-tasavagiselt,Nepal,7,False
Meta va licencier 8000 employés pour compenser ses investissements dans l'IA,"Meta a annoncé jeudi en interne le licenciement de 8000 personnes, soit environ 10% de ses effectifs, a indiqué à l'AFP une source proche du dossier. Dans le même temps, plusieurs médias américains ont fait état d'un vaste plan de départs volontaires chez Microsoft.",2026-04-24 01:39:44+00:00,rts.ch,https://www.rts.ch/info/sciences-tech/2026/article/meta-va-licencier-8000-employes-pour-compenser-ses-investissements-dans-l-ia-29221254.html,Nepal,11,False
Trisha: விஜய்க்கு ஓட்டு போட்டாரா த்ரிஷா? - சைலண்டாக செய்த சம்பவம்.. தவெகவினர் மகிழ்ச்சி!,நடிகை த்ரிஷா தனது தாயாருடன் வந்து  சென்னை அபிராமிபுரம் பகுதியில் உள்ள செயின்ட் பிரான்சிஸ் சேவியர் நடுநிலைப்பள்ளியில் தனது வாக்கினை பதிவு செய்தார். அதனைத் தொடர்ந்து இன்ஸ்டாவில் போட்ட பதிவு வைரலாகியுள்ளத,2026-04-24 01:37:37+00:00,ABP Nadu,https://tamil.abplive.com/entertainment/tn-election-2026-actress-trisha-instagram-post-viral-indirectly-singal-to-support-tvk-vijay-257313,India,11,False
Beggars in Kuala Lumpur growing more assertive,A trend is emerging: groups of women with young children are increasingly targeting passers-by. Read more at straitstimes.com.,2026-04-25 03:25:00+00:00,The Straits Times,https://www.straitstimes.com/asia/se-asia/beggars-in-kuala-lumpur-growing-more-assertive,Nepal,7,False
Signal: Spionagekampagne erreicht Bundesregierung - Ministerinnen betroffen,Der Angriff auf Nutzer der Messenger-App Signal betrifft auch die Bundesregierung direkt. Bildungsministerin Karin Prien und Bauministerin Verena Hubertz gehören nach SPIEGEL-Informationen zu den Opfern der Kampagne.,2026-04-25 03:23:00+00:00,Spiegel,https://www.spiegel.de/politik/signal-attacke-ministerinnen-betroffen-a-a4ad5e41-c595-41d3-bcab-87a522925838,Nepal,7,False
